longitude,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n
-73.99074,3.0,7.0,1.0,0.0,38.0,1.0
-73.90755,7.0,25.0,1.0,271.0,21.0,1.0
-73.94726,4.0,0.0,1.0,0.0,6.0,0.0
-73.99477,1.0,0.0,1.0,360.0,7.0,1.0
-73.992,30.0,0.0,121.0,349.0,14.0,1.0
-73.87853,5.0,2.0,3.0,0.0,81.0,0.0
-73.98028,1.0,3.0,1.0,0.0,8.0,1.0
-73.96515,28.0,0.0,49.0,251.0,1.0,1.0
-73.93544,8.0,1.0,1.0,0.0,15.0,0.0
-73.91608,1.0,1.0,1.0,89.0,15.0,0.0
-73.97807,5.0,1.0,1.0,0.0,16.0,1.0
-73.97844,30.0,1.0,49.0,311.0,5.0,1.0
-73.92879,3.0,77.0,1.0,17.0,6.0,1.0
-73.98252,1.0,0.0,1.0,0.0,68.0,1.0
-73.97994,30.0,0.0,1.0,352.0,8.0,1.0
-73.96123,1.0,0.0,1.0,0.0,15.0,0.0
-73.94695,3.0,13.0,1.0,0.0,2.0,1.0
-73.98606,1.0,0.0,1.0,0.0,1.0,0.0
-73.97458,2.0,1.0,327.0,159.0,5.0,1.0
-73.94358,3.0,9.0,1.0,329.0,2.0,0.0
-73.95845,7.0,10.0,1.0,0.0,20.0,1.0
-73.89678,2.0,73.0,1.0,318.0,100.0,1.0
-73.96466,3.0,17.0,1.0,11.0,29.0,1.0
-73.97827,2.0,29.0,1.0,0.0,8.0,0.0
-73.93502,3.0,10.0,1.0,0.0,4.0,1.0
-73.95263,2.0,15.0,1.0,251.0,24.0,0.0
-73.9558,4.0,52.0,1.0,341.0,73.0,0.0
-73.95436,7.0,15.0,1.0,213.0,2.0,0.0
-73.93432,3.0,51.0,1.0,0.0,30.0,0.0
-73.94726,1.0,0.0,1.0,0.0,28.0,0.0
-73.93174,1.0,1.0,1.0,0.0,21.0,0.0
-73.95686,5.0,2.0,1.0,0.0,12.0,0.0
-73.88818,1.0,14.0,4.0,300.0,83.0,0.0
-73.90639,1.0,26.0,3.0,0.0,21.0,0.0
-73.92693,2.0,0.0,1.0,0.0,21.0,0.0
-73.94327,1.0,30.0,1.0,176.0,6.0,1.0
-73.95098,2.0,20.0,1.0,0.0,12.0,0.0
-73.76993,1.0,14.0,7.0,177.0,152.0,0.0
-73.91852,2.0,12.0,1.0,0.0,21.0,0.0
-73.95593,3.0,38.0,1.0,314.0,12.0,1.0
-73.94582,1.0,0.0,1.0,0.0,2.0,1.0
-73.9387,6.0,1.0,2.0,0.0,12.0,0.0
-73.97753,1.0,68.0,2.0,22.0,19.0,0.0
-74.00303,30.0,31.0,2.0,12.0,11.0,1.0
-73.99012,5.0,1.0,1.0,0.0,79.0,1.0
-73.95044,2.0,148.0,1.0,0.0,2.0,1.0
-73.94362,2.0,273.0,1.0,254.0,12.0,0.0
-73.91337,2.0,6.0,1.0,173.0,72.0,0.0
-73.9651,5.0,0.0,1.0,358.0,22.0,0.0
-73.98023,5.0,4.0,1.0,0.0,8.0,1.0
-73.96987,1.0,0.0,1.0,0.0,29.0,0.0
-73.95178,3.0,17.0,1.0,280.0,2.0,1.0
-73.85605,1.0,0.0,1.0,341.0,87.0,0.0
-73.95604,5.0,4.0,1.0,16.0,25.0,1.0
-73.99752,3.0,172.0,2.0,64.0,9.0,0.0
-74.00515,29.0,0.0,327.0,333.0,43.0,1.0
-73.91525,1.0,5.0,2.0,0.0,21.0,0.0
-73.98602,3.0,7.0,1.0,0.0,1.0,0.0
-73.95277,2.0,9.0,1.0,0.0,20.0,1.0
-73.95308,4.0,0.0,1.0,88.0,2.0,0.0
-73.95702,5.0,0.0,3.0,21.0,2.0,0.0
-73.99361,5.0,2.0,8.0,333.0,111.0,2.0
-73.96912,1.0,0.0,2.0,88.0,8.0,1.0
-73.9789,30.0,1.0,3.0,357.0,8.0,1.0
-73.9037,1.0,3.0,3.0,65.0,31.0,0.0
-73.91788,1.0,37.0,1.0,74.0,39.0,1.0
-73.86451,1.0,1.0,1.0,48.0,103.0,0.0
-73.96451,5.0,16.0,1.0,67.0,12.0,1.0
-73.95798,2.0,4.0,1.0,0.0,24.0,1.0
-73.9767,3.0,33.0,1.0,128.0,8.0,1.0
-73.99935,30.0,0.0,2.0,0.0,14.0,1.0
-73.94332,4.0,27.0,2.0,156.0,2.0,0.0
-74.00498,29.0,1.0,327.0,361.0,43.0,1.0
-73.94935,5.0,9.0,2.0,118.0,28.0,0.0
-73.90568,3.0,47.0,2.0,321.0,44.0,0.0
-74.00206,4.0,6.0,1.0,0.0,52.0,1.0
-73.99731,5.0,3.0,2.0,42.0,53.0,0.0
-74.00416,3.0,0.0,1.0,0.0,11.0,1.0
-73.9928,1.0,3.0,1.0,0.0,7.0,1.0
-73.92744,1.0,26.0,1.0,365.0,18.0,0.0
-73.9972,3.0,11.0,1.0,14.0,36.0,1.0
-73.98727,29.0,0.0,327.0,332.0,71.0,1.0
-73.93118,3.0,87.0,1.0,267.0,6.0,1.0
-73.9125,1.0,30.0,1.0,157.0,39.0,2.0
-73.94055,4.0,2.0,1.0,0.0,25.0,1.0
-73.92705,3.0,3.0,1.0,171.0,30.0,0.0
-73.84846,5.0,4.0,2.0,0.0,129.0,1.0
-73.89201,1.0,17.0,3.0,67.0,84.0,0.0
-73.96043,1.0,1.0,1.0,0.0,28.0,0.0
-73.95807,2.0,58.0,1.0,257.0,20.0,1.0
-73.99253,1.0,59.0,1.0,194.0,7.0,0.0
-74.00403,1.0,23.0,4.0,327.0,79.0,0.0
-73.92477,1.0,18.0,3.0,146.0,21.0,0.0
-74.00532,29.0,0.0,327.0,361.0,43.0,1.0
-73.92535,4.0,120.0,1.0,100.0,21.0,1.0
-73.94893,2.0,87.0,1.0,77.0,12.0,1.0
-73.94242,30.0,12.0,7.0,0.0,6.0,1.0
-73.96102,5.0,0.0,1.0,325.0,24.0,1.0
-73.92351,2.0,90.0,3.0,33.0,21.0,0.0
-73.94663,8.0,1.0,1.0,0.0,2.0,0.0
-73.92898,2.0,15.0,3.0,329.0,35.0,0.0
-73.99955,2.0,1.0,1.0,146.0,52.0,1.0
-73.78954,2.0,112.0,1.0,162.0,120.0,1.0
-73.9551,2.0,77.0,2.0,259.0,28.0,0.0
-73.92894,4.0,3.0,1.0,0.0,6.0,1.0
-74.00064,2.0,3.0,9.0,361.0,27.0,1.0
-73.95298,3.0,2.0,2.0,0.0,6.0,0.0
-73.98286,30.0,0.0,1.0,363.0,1.0,0.0
-73.95424,3.0,0.0,1.0,0.0,12.0,1.0
-73.95534,1.0,200.0,2.0,208.0,12.0,1.0
-73.98838,1.0,2.0,1.0,0.0,23.0,1.0
-73.92463,1.0,0.0,2.0,365.0,80.0,0.0
-73.94414,2.0,155.0,2.0,60.0,20.0,0.0
-73.99521,2.0,3.0,1.0,0.0,7.0,1.0
-73.92293,1.0,43.0,2.0,331.0,56.0,0.0
-73.95132,4.0,0.0,1.0,16.0,54.0,0.0
-73.95677,3.0,0.0,1.0,0.0,6.0,0.0
-74.02942,5.0,4.0,3.0,312.0,75.0,1.0
-73.99929,2.0,3.0,1.0,0.0,11.0,1.0
-73.96746,5.0,108.0,2.0,156.0,8.0,1.0
-73.95036,1.0,0.0,33.0,180.0,20.0,0.0
